Оценка,Положительный отзыв,Отрицательный отзыв
1,Nothing,No electrics
6,Staff were lovely. Breakfast was plentiful (cooked foods weren’t brilliant quality) but plenty of choice.,Bathroom filthy and facilities broken. Towels were ooor quality. Bed sheets were too big for duvet (duvet was a single on a double bed?!).
5,Положительный отзыв отсутствует.,There was no onsite parking. male staff member was very rude said we needed photo I.d even though it didn’t state this when booking and said we would have to get some in order to stay at the hotel. Tv remote only part working and side lights wouldn’t turn off
5,Breakfast was fine. Decent location. Room was reasonably clean.,"Decor very tired. Was offered an upgrade at no extra cost when checking in, but if the upgraded room was an ""upgrade"", then I would not like to see the ""superior"" rooms we had booked."
5,Положительный отзыв отсутствует.,Arrived to discover that they do not hold your bag pre or post check out which was really inconvenient
4,Положительный отзыв отсутствует.,Plumbing loud
5,Nothing,"Everything. Tiny rooms, unfriendly staff"
4,Location was excellent for what we required,Not very clean
4,It was close to ti e station,We were given an ‘upgrade’ which was a basement too without windows.
2,Положительный отзыв отсутствует.,"Paid for a triple room 3 adults and got double with small camp bed.
2 cups 2 glasses. Shocking."
5,After being moved bed was comfortable.,"No storage of cases while waiting for room to be ready. Lots of guests were annoyed - had to wait 2 hours til room was ready - wasted time! Advised rules changed on this yesterday by printed note on counter. But guests told various time frames 1 week ago, 2 weeks ago! Disgraceful service staff couldn’t care less about their guests. 
Friends luggage sitting close to window - clothes on top soaking after a rainy night - told it was condensation. There was gaffer tape on window!!!! Why !!!! Didn’t care when told friends clothing was wet. 
Front desk service was non existent. We were blamed for our room not being ready because in comments I’d asked for a quiet room! Didn’t get one on front street.
Hotel is Not in Kensington it’s Earls Court - big difference - stayed in Kensington 3 times quality service quality hotels Park Grand needs booking.com looking into hotel and the way it’s run more closely. So so disappointed."
5,The rooms were really convenient and the location perfect!,"It was unacceptable that in this price they didn’t offer luggage storage for our suitcases and we had to leave them in the entrance without proper safekeeping! Also, although we asked for the manager he never appeared and the staff in the reception didn’t even seem concerned or eager to help! 
This is my first time after travelling more than 15 years for both professional and personal reasons that a hotel that I have been staying doesn’t offer luggage storage for suitcases. This was unacceptable and I would certainly not stay again in the hotel for that reason!"
3,Положительный отзыв отсутствует.,Small bed awful pillows condensation running down the walls . Rubbish breakfast
6,Proximity to the Underground,"Internet was poor. Signal was speedy and accessible only at the door of the room. Move to the actual bed area or desk, the signal dropped off tremendously to the point when one couldn’t access text nor email.

I had to ask three times on different days to get extra blankets for each twin bed"
3,Location - close to the underground,Some staff were grumpy and unfriendly. Breakfast was poor - poor choice and quality.
4,Shower and service in restaurant,"Too small room for two people, cleaner knocked at the door waking us up asking if required cleaning services."
5,The location,The price against overall quality
3,Breakfast was ok,Room not clean
6,Great location - Close to Earls Court tube.,Various issues. I have submitted an e-mail direct to Park Grand. Disappointed . Doesn't warrant the 4* rating that it has.
5,"Mattress was very comfortable. 
Shower was good.","Dirty in places . 
Small compact room
Needs some cosmetic attention."
6,"The location of the hotel is excellent. 20 second walk to tube station and plenty of restaurants and bars in walking distance. The area was quiet too apart from the occasional rubbish truck.

Staff was very pleasant.","The room was very small for the price. The walls are quite thin too as you could hear every bit of movement in the corridors from your room. 

Bit expensive for what it is. 

Coffee wasn't included in the breakfast so I had to pay extra for hot drinks"
6,The location,poor breakfast. there should be a coffee machine within easy reach of customers. For a latte or cappuccino you have to pay extra.
4,The location.,"Our room was next to a road and the generator storage room - both were noisy.
The room was very small and had a green ceiling light on permanently which resulted in the room never being completely dark.
The tea/coffee was not replenished and access to our room was behind the restaurant which required going up a flight to come down via the emergency stairs which were very dirty."
6,I like the location of the hotel,The room is dirty and it is very small and when I asked for housekeeping they only come and take the trash and adjust the bed
6,"The location is great, nice neighbourhood","The rooms are dated, I had some flies in the room and the moth (wool eating one) - got rid of it and was alright, generally the cleaning was not great and a note was pushed really early on the morning (around 7am) that they couldn't clean the room for today, so we had to ask every single day to the room cleaned :/ not great!"
5,"Friendly staff. Fair breakfast.New,modern bathroom with good quality fittings. Plenty of towels and supplies in the bathroom.","Dark furniture in the bedroom , room looking out to a brick wall.Small supposedly superior room!!!!! 6 inch gab between bed and wardrobe very tight squeeze , I had to walk sidewards along the bed to get to the bathroom, have bruises to prove it if required. Poor quality yogurt and bread at breakfast."
4,The helpful receptionist.,"During my recent stay at a hotel, initially booked for 5 nights, I had to cancel the reservation for the remaining 4 nights due to a change in my plans. Upon arrival, I explained the situation, and the necessary adjustments were made. However, I was given a room on the underground floor, which presented an inconvenience. The layout required taking the lift to the first floor and then walking to the underground area, descending to the room from the other end. This setup was not very convenient, featuring dirty carpets among the old floors that resembled a fire escape, with no signs to guide guests. The price I paid for one night, £234, felt disproportionately high, especially considering the underground room and location. Additionally, the omelet eggs I ordered for breakfast were oddly flat, differing from what I've experienced in any other hotels. Overall, it was a unique and less-than-ideal experience."
4,Положительный отзыв отсутствует.,Breakfast is not OK. and there is not add drinking water and shower gel in the room
6,Location was great,"Felt old and tired.
Shambolic room arrangements over several levels needing stairs to get to our room."
5,Good location but very mediocre and not a 4*,"Small bedroom, kettle didn’t work, shower leaked."
6,Location was ok. Shower and bathroom were very nice.,"Overpriced, mould on the windowsills, view of a brick wall, bedside lights unable to turn off- had to unscrew the bulbs"
3,Staff very friendly,Basin in bathroom wouldn't empty = breakfast was like going back to the 80 s - toasting bread awful - trying to safe a few pounds didn't work.
5,"Location was perfect for getting around. Really nice and central to what we had planned. 

The beds we’re comfortable","The place seemed to have seen better days. The carpets were old and worn. Most of the decor and walls were chipped and just a bit shabby. 

There was mouldy food in the fridge when we arrived which was very disgusting and just not really acceptable. The front desk did offer us a different room however, we had already unpacked and settled and couldn’t be bothered to repack everything. We just asked that they cleaned the fridge out for us which they agreed to do but when we arrived later in the evening, The food was still in there… we then took the food ourselves to the front desk and nothing was offered to make up for this. They did not really take responsibility and just blames the cleaning staff. 

The breakfast was also extremely disappointing. I really didn’t think you could go wrong with a breakfast buffet but I am wrong. Everything was over cooked and just bland. The juices weren’t re filled and the water even tasted a bit off. Really not what I expected from a 4 star hotel. 
We were told they only had filter coffee which would have been fine but after waiting 10 minutes for a cup, I then heard the sound of milk being steamed only to turn around and see that they,in fact, do have a coffee machine and were making barista style coffee."
4,Location!,"I have been in touch about the fact that, although I had booked from 22 until 26 October (4 nights), I was only able to stay three nights, because my flight was cancelled at the last moment. As I told you before, I have stayed at your hotel on a number of visits, so I was hoping for some consideration and “clemency”. The manager rang me about this and just focused on “loss of revenue”, which I found rather disappointing…..
Apart from that I think that in general my stay was not as good as on previous occasions. When I arrived, the lady at reception (Anna) gave me a form om which the amount was something like £ 820,— for four nights. I had the booking.com form with me and could show her it said £ 779,—. She said she would show me her booking.com form and then noticed it was indeed £ 779,—. Incidentally, there was a date of birth on her form that was not mine either. So I think she may have mixed up two guests. She could easily just have said , “I am sorry” rather than just “Oh”.
On one of the following nights, when I had a shower, the bathroom was flooded and water even went into part of the bedroom, near the threshold. I quickly called reception, someone brought extra towels and I was the one doing the cleaning and drying! (I wonder why….) The water coming from the shower just flowed away very very slowly. The next day maintenance saw to it. I hope it has been fixed. I did not shower after that one night.
Also, WIFI seemed to work less well than on previous stays. I don’t remember having problems with WIFI on previous stays! During this stay, in the morning and late at night, my device often said “no Internet connection”. Perhaps this is a case of installing more access points? No idea. As I said, there were no problems on previous stays.
So in all I am beginning to have some doubts about your hotel. Did I just have some bad luck? I don’t know. I do know that in previous stays I left feeling happier and more satisfied."
4,Положительный отзыв отсутствует.,"We left a pair of expensive sunglasses in our room. After contacting the hotel immediately after returning home by phone telling them exactly where they were, the hotel didn't return our call when they said they would. We then contacted by email after a considerable length of time they responded with a email saying they didn't find them. If the hotel had gone and looked or when the room was cleaned they would have found them. 

Feeling very let down"
3,Location near tube station,Unable to understand four star rating as consider it hardly merits three!
5,the location of the hotel,"the room is so small, and it can be accessed from the next room via a door, which is not safe enough. btw, the bottle of water in the room is charged."
5,"Room was apparently upgraded, however our room (03) was in the basement. The room was clean, but dated, the carpet on the stair was unfastened and the cleaning product smell was very strong in the bathroom.","Room was apparently upgraded, however our room (03) was in the basement. The room was clean, but dated, the carpet on the stair was unfastened and the cleaning product smell was very strong in the bathroom."
6,"Clean bathroom/toilet 
The room was ready upon arrival, 1 hour before normal check-in.
We could change our room from a basement-room, to a room on the first floor.","The room was quite dusty.
The room was quite small.
We found old dirty socks by the bed (not ours)
The small amenities was empty when we arrived at the room (shower cap etc.)
The stairs and hallways smelled very much of weed."
3,Not a lot other than location,"Room in basement. No windows. Kettle broken, roof leak plugs not working"
5,Положительный отзыв отсутствует.,Basement room with no window. Hairs on bedding. Bad smell in bathroom.
4,Location was good,"Breakfast was awful, the food and coffee was really bland and tasted cheap. I had to request that the heating was put on in my room by reception as they had the controls which i was not aware of so i sat in a cold room for hours waiting for it to work. I travelled with my mum who has limited mobility and everytime i asked for help bringing up and down her mobility scooter at the entrance the staff made us feel like it was a chore for them. Where as other places we have stayed we have always felt very welcome and they would always offer to help us with her access issues. For the price we paid for the room we were very disappointed."
6,Breakfast and location,Room very small and worn out.
6,Location,"Room in basement, and no window.
Overpriced.
Poor water pressure.
Shower pressure not good enough."
6,The welcome was friendly and staff were attentive. The room was fairly spacious and clean providing all the expected facilities (apart from a window).,"We were guided to our room by a member of staff which was helpful as we were taken down two flights of stairs and along a lengthy turning corridor to a gloomy room underground. There was no natural light, no window, and it was like staying in a dungeon. I'm not claustrophobic but the room was so dark without the lights on that we left the bathroom light on all night. It was not a pleasant atmosphere."
6,"Location was pretty good, staff were friendly and it was easy to locate","Room was very pokey, nowhere to fit 2 suitcases, bed was very average, lift was small"
4,Положительный отзыв отсутствует.,"Bed and pillows were uncomfortable 
Didn’t seem very clean"
5,"Staff pleasant. Breakfast was reasonable, although very cheap, concentrated orange juice was served. Room was perhaps the smallest room I've ever stayed in, (511) and the bed was dreadful. Bathroom sink has a crack right round the edge and paint work needs major attention. The view outside was of dirty unkept paintwork. Shame, as the room was clean, location ideal and the staff were friendly.",Отрицательный отзыв отсутствует.
4,"Near to the underground station.
Having an electric kettle and a microwave oven in the room.","Wifi did not work at all.
Some lights cannot be turned off."
3,The rabbit Warren to find the rooms is awlful and once l finally got to the room it reeked of cigarette smoke. The room had no window.. not worth the money. was not represented correctly online when l booked. l would've gone elsewhere,Отрицательный отзыв отсутствует.
5,Pleasant staff.,"Very dark room in the basement with no window. Booked a “superior” room and paid $250 for a dark, musty room. Unpleasant."
6,Friendly staff,Very small room with window towards neighbors windows; weird smell in hallways;
6,Good location,"Poor breakfast selection 
Hotel needs an urgent refurbish. Rooms not clean 
They won't allow you to store your luggage after check out for a day 
Very basic gym 
Beds very uncomfortable"
1,Nothing,Everything
6,Location,Cleanliness and facilities for the price
5,"Clean, staff friendly","We were told they were upgrading us but the room they put us in was 2 flights of stairs down, the room had no windows in so it felt as if we were in a dungeon, we asked to be moved which they did to the fifth floor which was tiny but comfortable and with a window that opened"
5,The room had everything needed.,"The room was too small suitable for Single person occupancy & not for couple.
- The bed also as above."
5,Location as we went to a Chelsea game at Stamford Ford Bridge and walked to the game,"Interior was really dated and was the most expensive 2 night stay of our three weeks in the UK 
Breakfast was ordinary."
5,Nothing,"Old, worn out furniture and fixtures. Needs major revamp. First impressions count. Getting into a dirty elevator is telling."
4,Good location,"We were put in the basement with bars on the window so if there was a fire we COULD NOT GET OUT, and to top it off there were dead bugs on the towels. At 6am the following morning the fire alarm went off for 20 minutes, when we called reception we were told not to evacuate and that they don’t know why the alarm was going off."
6,our room was in the basement and it was difficult to get there and through the hotel's back room,our room was in the basement and it was difficult to get there and through the hotel's back room
4,Положительный отзыв отсутствует.,"overall the hotel is disappointing
accessibility to the rooms 
old
the gym is the worst i ever experienced (old and not functioning equipment)."
1,location was handy but unsafe,"Everything!!! the photos on booking.com are deceiving. the hotel does not look anything like the photos. the property is extremely old and dodgy looking. The rooms are tiny which is fine coz it’s London, but the photos does not show that. The loos(women) in the reception did not have a lock and the handles were broken too.

The bed and the pillows were awful and kept us all awake because they were so uncomfortable. At around 2 o clock in the night, someone started hammering on the walls and all of us woke up due to that. When I mentioned this during checkout, the staff said ‘we don’t do any work in the night’ and that’s about it. I felt cheated and deceived bu booking.com. I will be very careful next time."
2,Staff was nice.,It wasn’t sound proof and we were upgraded to a room in the basement.
4,The hotel is very average.,Requires refurb. Poor lighting in the room. Staff unwelcoming and not much better than a premier inn.
1,Location,"Maintenance issues prohibited the shower and hot water to be available and had to be taken to another room for a shower only to find the same issue.
Reception also offered verbally a full refund of one night’s accommodation but when this was pursued via booking.com the hotel denied this and only offered a 10% discount on room fare.
Extremely disappointed and would not recommend or stay there again."
2,the staff were helpful,"no wifi or mobile network cover in original room and no natural light; after complaining, I was moved to another room where I could get 4g mobile cover but still no wifi."
2,Staff were friendly,"Room was nothing like we expected. False advertising & very disappointing. Loud intermittent noise from air conditioning system. No soundproofing from other rooms or hallway. No slippers or bathrobes here as advertised. This property is definitely NOT 4 star, more like 2. Booking.com need to go & take a look. Hotel is extremely shabby & desperately in need of renovation. Grubby carpets & surfaces. The advertising photos do not look up to date & make this property look much tidier than it actually is."
5,"Everybody is very professional and pleasant, but these small hotels in Kensington are like closets....and this one is no exception. The room was very clean and there was a tiny coffee maker, which helped.","We were put on the 1st floor with a view along one glass wall/window of brick walls and building vents. Breakfast is not included in the lowest price room rate. The room was a bit dark because of being against a brick wall. I was constantly bumping into things because there was almost no room for our tiny suitcases. Just a shower - no tub. All this for the low, low ridiculous price of $700+ for a two night stay! I know this is the going rate now - but PLEASE! It's almost like its not even worth going to London if the base hotel rate is this high. Any major city in the EU is a far better value. :("
4,Very clean. liked the style of the room.,"No security chain on the door. They couldn't find our booking,I know I booked last minute but was in a basement room with no windows. Skylight didn't provide any outdoor light but did produce a lot of noise. None of the light switches worked, couldn't turn lights beside bed off when wanting to go to sleep and didn't want to removed card from door in case there was an emergency where we needed light. No plug sockets next to the bed."
3,Location was convenient,"Room was tiny, noisy and smelly (next to the kitchen and bins), bed was uncomfortable, inconvenient having to walk up and downstairs to get to room with luggage"
6,LOCATION.,ROOM WAS TOO SMALL. NO PARKING WAS AN ISSUE.
2,Положительный отзыв отсутствует.,"We booked a superior room and found ourselves in a room/dungeon in the basement without a window. Beside the room was a public toilet that could be heard flushing constantly through the thin walls. Only after complaining were we moved to a room with a window in the category we had booked the following day. On arrival in the new room while lying on the bed I cut my finger on a broken piece of glass. After an inspection we found four small pieces of broken glass on the bed. The staff at the hotel lobby, who were unfriendly from the beginning, pointed out that only the cleaning staff and the bellboy had been in our new room and they could not have put the broken glass on the bed. We were quick to say that it wasn’t us but the feeling of being accused ourselves was obvious. We were offered all kinds of excuses from the manager and a bottle of Prosecco, which we declined. Apparently some fruit and a half bottle of complementary wine had already been placed in our new room as compensation for our dungeon experience. There was however, no note with an apology so we presumed the wine was to be paid for, thinking that it belonged to the minibar. Having become slightly paranoid at this point, I checked the kettle before boiling some water only to find it filthy, with a sticky brown mass inside. Overall a very unpleasant experience."
5,Great location and staff.,Very small room. The bed was 7-10 past when it should have been replaced.
4,Положительный отзыв отсутствует.,"Needed to be told how to hack into the wifi server, because logon didn't work.
Needed to book breakfast in advance, but nobody asked about it when I booked in. 
Room underground, set far too hot. 
Not recognisable as 4 star service."
5,Положительный отзыв отсутствует.,room had no windows and there was a bug in my bed
3,Положительный отзыв отсутствует.,"The hotel is very run down I requested a room with a window but the hinge on the window was broken so it didn’t open. The room had lots of visible wear and tear, the carpet was stained, it smelt like damp and wasn’t cleaned properly (there was a hair in the shower and a hair on one of the pillows that wasn’t mine)"
1,nothing,"Room 414 in the hotel has a very serious abnormal sound, which is very loud, even in the middle of the night, which makes us often startled and difficult to fall asleep, and we never reply to messages from customer service, and I even lost something"
5,The location was good,"Being accommodated in the basement, 
Dingy
Dust in the corners
Stained walkway carpets not inviting"
6,The location was good & the staff were very friendly & polite.,"We paid significantly extra for having booked from Australia. 
The room needed a good clean & I asked if they could vacuum, but this didn’t happen."
6,"great location, quiet rooms","very small rooms, cleaning staff made our bed terribly."
5,"Nice bathroom, good room cleaning, pleasant & friendly hotel staff ( other than in restaurant)","Small room; Limited common areas to relax -only a small lounge area, essentially used as a reception waiting place and bar was basically a makeshift counter in the restaurant area; Breakfast experience was poor with ungracious/unattentive staff and poor quality of food and drink."
3,Location was good and staff were very helpful and friendly.,We were put in room 008 - there was a huge pillar in the room which navigating around in the night in the dark was fun. The wardrobe area was tucked away in a corner where there was no lighting and the lighting overall was very poor as we there was no natural light as there were no windows in the room. there were 2 lanterns in the ceiling one directly above the bed which had been covered previously with some sort of black paint which had now started to wear off so as the sun rose in the morning from 5ish started letting some light in to the room and as it was in the ceiling there was no way to block it out. The walls were also paper thin. It was such a dark and depressing room and not at all what I expected for the price or from the pictures I saw on booking.com
5,central,a bit grubby
1,Proximity to the underground,I would not stay here again nor would I recommend this hotel to anyone. The service provided and quality of the rooms/ facilities was unacceptable for the price I paid to stay here.
5,Pleasant staff,Location could have been better. Small room
4,"staff very pleasant and helpful, but not as well presented as they should have been. the cleaning, while the basics was done well, attention to detail, was lacking. taps were marked, not sparkling, as with the mirror, the shower grout was stained corners were neglected. bedding poor standard. just looked tired and neglected.","see above. 
perhaps management has changed?"
1,not at all.,it is not a hotel. 4 stars in booking.com is misleading. it is a linked house to the hotel the facility provides for us to stay.
6,Great location,Didn't like the two single beds pushed together for sleeping on as they kept sliding apart and the sheet kept coming off the bed. The shower wasn't clean either.
5,Положительный отзыв отсутствует.,"bed was not confortable, one mattress was higher than the other, two twin together uncomfortable, I had ask for a double"
6,"great location, easy access to the tube","room was dirty, stains on the bedding, poor windows insulation. We could see outside through the windows seals …"
2,"!
location for earls court","in basement
no hot water
drilling from midnight onwards
had arranged for case to be put in room as at a function and not getting back to hotel until late. Wasn't there"
6,The location was great as I was there for the London marathon. It was close to most of the cities sites!,"I didn't like that interior of the hotel seemed a bit run down, the room was okay, but there as a loud noise coming from the bathroom and I couldn't figure out what it was as it woke me up several times during my stay there. The beds were not comfortable I could feel the spring of the bed every time I sat on it. Not sure why a complimentary continental breakfast wasn't offered for the cost of the hotel stay, however, I was close to local coffee shops so it was okay."
4,The staff were pleasant and helpful but insufficient numbers of staff in the restaurant each morning.,"Being given an ""upgrade"" room to find it was in the basement and had no window and no wifi or mobile connection"
5,"The staff were very kind and helpful, they went out of their way to assist me. The location was convenient, and close to good restaurants (I recommend “Addie’s Thai” nearby!) The room was an OK size and my bathroom was very nice.","I’m a solo business traveller, I travel a lot for work, and have stayed in quite a few hotels in London. As it stands, I don’t think that the Park Grand Kensington offers good value for money and I would suggest shopping around for a better value hotel. The corridors are dark and like a maze (I got lost twice) my room was also dark, and the light switches by my bed were broken. The elevator was old and creaky, and breakfast was poor, the eggs were bland and they had a very limited selection (no yoghurt, and old looking fruit). I wouldn’t stay here again, as I believe the price is not competitive for what it offers. I was not offered a VAT receipt as a business traveler and had to request one (quite arduously) after my stay.

Finally, this may be more my personal taste, but their computer systems were extremely prejudiced, and, as a woman travelling regularly for business, it put me off staying here again. One example: to sign up for the wifi code you had to include your title, if you share a room the options were: “Mr & Mrs, Dr and Mrs, Colonel & Mrs, Lord & Mrs etc. etc”. What century is this?

My suggestions to management: 
1. Make necessary repairs to rooms and elevator, consider changing black netting on windows to white.
2. Improve your breakfast offering, it is expensive, it should at least be good.
3. Change the wording on your registration system and other documents."
4,Location and the staff were helpful and friendly.,"2 of the towels in the room were dirty.

Hotel looked neglected and grubby. Hallways smelt of cigarette smoke despite the plug in air fresheners that were dotted around."
3,It's generally clean.,"Noise in the room throughout the night. Beware the 'upgrades' at checking in. You'll get a large room somewhere that's not ideally located. This one was above the staff room on the ground floor, and there was talking right through the night. This hotel uses to be fantastic but not anymore. 

Had to change plans on a non refundable booking. With other nearby hotels you ask to change the date and they will do so and chnarge the difference. Not here, they don't even acknowledge, and they've done this on nunerous occasions. 

Won't stay again, despite staying here more than a hundred times over the past 4 to 5 years."
4,location,"poor value for money 
Triple room was located in basement with several stairs and corridors"
2,Good location. Very close to the underground and shops.,"We were given a room without a window (we booked a deluxe double room) and, when we asked to move to a room with a window, we were told there were none available that night and we would have to wait until the following day. We were woken up very early both mornings by noise in the corridors (sounded like the cleaning staff shouting to each other) and also by reception calling us 3 times early in the same morning to speak to us about our request to move room after we had already told them we would like to move later that day. 

Room was quite stuffy without a window and it was noisy to sleep with the aircon on. 

Corridor down to the basement rooms also smelled strange."
5,Hotel staff were very attentive and polite. Location was great for our stay too being so close to underground station and amenities. Hotel itself was very well maintained and breakfast was good.,"Our room did not feel great value for money. We were told we'd been given an ""upgrade"" which was actually just the sort of room I'd expected for the price and was actually in the basement which meant no natural light or ways of opening a window for fresh air. The WiFi would not work due to location of room and there was a constant banging of the doors outside all morning which woke me early and I could not get back to sleep after 7am. I had booked the hotel as a treat for my husbands birthday it said there would be fresh fruit and cookies in the room which there wasn't just didn't feel very ""deluxe"" considering what else was on offer in the area."
5,Good shower,"Noisy, bed uncomfortable, room not very clean."
3,"The food was barely warm, we asked for breakfast tea for 2 we were given a pot of tea for 2 with only one tea bag awful experience","The room on arrival was small so much so it felt uncomfortable. We opened the curtains to be confronted with a brick wall only 3 metres from the window what a great view of London. 
The bed was far to high,and uncomfortable , pillows very firm all leading to a very bad night sleep , we were treated to a humming all night which all added to a very bad experience 
Not again at the Park Grand, our room was sold to us a superior double room more like a superior broom cupboard, Booking.com missed sold this hotel so not using them with future bookings"
2,"The cleaning was good, the room has iron, quite spacious bathroom","breakfast is awful, no soundproofing - you can hear every door closing, people walking, talking, the area is not nice even though it’s Kensington, staff is not helpful"
4,The location,"Basically in the basement! Lovely hotel, but the corridor down to the ground floor was disgusting, smelt of urine and carpets heavily stained. Room itself was adequate"
3,Pleasant staff,"Room had no windows, was an alleged upgrade, but was a tired space and unwelcoming. Shower flooded and took ages to drain away, so ran over the top of the tray. Not what the pictures and recommendations said. For tourists not UK locals"
6,"Quiet place, good location, comfortable bed. The room was ok, but needs renovation and good cleaning.","Booked deluxe room. When i arrived, the manager said that he upgraded my room and offered me the room in the basement with a view to the wall of another building))) After my protest, they provided the key from deluxe room, but after this i cannot recommend this hotel. 
Moreover it is quite old and untidy."
6,"the staff are very accommodating, comfortable bed, staff go out their way.","shower very slow, you can hear people’s noises, very old and dated, stained towels, and not worth the money paid for."
5,"the location for the reason we were there was good, staff were friendly",the location of the bedroom wasn’t great and the pillows were uncomfortable for my husband
6,"- Location; less than 5 minute walk to tube, supermarket and restaurants.","- noise; could hear everything on the floor and people in the room next door 
- breakfast; overpriced, small selection, no milk alternatives
- uncomfortable beds
- fridge did not cool"
2,Положительный отзыв отсутствует.,"the room, the way to the room, poor room ! small bed!"
2,very rude to me. paid the reservation on bookings BUT either bookings or the hotel messed it up as I had confirmation credit card was used yet apparently it was not and the staff was extremely rude as if I was cheating them. advice….BENEFIT OF THE DOUBT GOES TO TGE CUSTOMER….for Christ’s sake!!,rude staff
3,"Location is good, near Earls Court but no noice","We started in a room 2 stairs down and the room was placed under the road. Without a Window, next to the staff rooms and the restrooms. No warning on the booking and it was presented as a Black Friday offer. Very many rooms are based in the cellar. After talkin
g to the concierge we were offered a very fine room with out any extra fee, which was good service. Some extra attention or a menu card explaining the possibility of ordering omelet etc as a part of the buffet would have been helpful"
6,The location was good and breakfast was okay. The staff were friendly too. The shower was good actually.,"On arrival we were early to check-in but they were eager to get us to a 'better room'. We were shown two different rooms, both of which were occupied. So not the best start to the trip.
The room we ended up in was right at the front of the hotel with a huge window that let in a draft, so not a very warm room. It also stank like cigarettes on the way to the room, so it must have been near a staff entrance/break area."
4,Good location near underground,They blocked payment for full amount on my card and then expected me to pay full amount before they unblocked security payment. I have never experienced this before . Broken window in room .
2,stayed in December hotel was warm.,"The staff were horrible, the hotel had a weird aroma to it. also when we booked a taxi from the hotel to train station it cost £45 for a 5 mile trip!! only to be told that the taxi driver only receives £12 of this the rest goes to the hotel. do yourself a favour and book an Uber! A bit out of the way to all London attractions. would have rather stayed in Premier Inn Waterloo again!"
2,"Good location, good room","Breakfast option is very poor for the money we payed. Staff were not doing good service at the restaurant, not cleaning tables and keep asking to wait at the restaurant entrance. Coffee very bad and if you ask for coffe from machine they charge extra."
5,location is good for access to tube,"no bar no lounge menu limited to curry’s only breakfast having too Q to be seated all Indian staff who try hard but don’t understand English , electrics in room poor bed ridiculously small broken plugs condensation on all windows , room not cleaned each day ,mould in bathroom I didn’t take pictures because we won’t stay here again !!!
avoid this hotel far better places to stay same really ."
3,good location,"very expensive for what was a bog standard unclean room when it was supposed to be a superior double, nothing superior about this room!! the carpet in the hallways is stained and frankly disgusting. this hotel was nearly £500 for just 2 nights and wasnt very clean. the quilt on the bed was a single inside a double duvet, towels were stained and fousty smell in the room. very very poor, avoid!!!"
6,the staff were excellent,the facilities were not really 4 star standard
1,nothing,"the price of the room was 428.00, for a small double bed, dated room. windows screwed shut, broken tv. Asked to move and ended up in a room with a window that opened at the rear of the hotel and a bed with a mattress too small for the base. 
reception staff did nothing on the price, I could have booked a 4 star at this money, it was no luxury, it is not Boutique or Unique as they say, it was bleak! bar closed at 11.00, no room service, limited breakfast! terrible, terrible hotel stay. 
should be a 2 star, very basic."
6,"Breakfast was very good, nice choice","The hotel doesn’t offer tea or coffee in the bar in the evening, it doesn't do cappuchino or other popular coffees at ANY time just tea and filter coffee's at breakfast ( it must be the only hotel we have ever stayed at that doesn't)... Our room was clean, but cold, and smelt slightly musty.. but bed was comfy"
6,The Staff & Location,"Quite run down, paintwork carpets stained damaged"
6,good location close to tube,"no room service available as restaurants too busy to provide, dirty cups in room"
6,"Decent quiet room. good bed. 
2 free bottles of water appreciated
very handy to Earls Court Tube Station which is a real plus.",breakfast could have been better
5,"The hotel is well located near Earl's court station
Hotel staff courteous, restaurant staff was very pleasant and helpful 
Reception staff made their best to assign me my room earlier - thank you !","The room looks a bit shabby - the corridors leading to the room could be more pleasant 
Appears that the room daily cleaning was done swiftly 
Breakfast for 5 days -was repetitively the same"
6,Location,The mattress was in need of repair.
1,Положительный отзыв отсутствует.,"It was a whole Hotel underground. Terrible Experience for a 240€/night. 
Very bad experience. Staff was ok"
4,Положительный отзыв отсутствует.,paid for a double and got 2 single beds
6,"On request, attention was paid to my husband's birthday by means of a bottle of prosecco in the room","Friendly staff, however, the overall coordination, especially at breakfast, is somewhat lacking. The breakfast buffet is quite limited in choice and sandwiches, yoghurt and spreads are not consistently replenished. Instant coffee at breakfast served in a jug is really outdated, especially for a 4 star hotel. Shower in one of our rooms had too little pressure and the cabin was not clean. Beds okay."
1,The staff are cool.,Rooms are really small and congested. There is only one lift in the whole building. The cleaning staff enter the rooms without customers permission. There’s of broken elements on the rooms and it smells really bad.
3,"Location, closeness to the main sights.","Customer service. First night I was downgraded instead of upgraded, after the ordered room was not available. The given room was lower in level and smelled. Was given a breakfast to make up for it, however even the breakfast was very poor."
2,Location was fine and he staff were very helpful,"My partner was suddenly taken ill on the 2nd day and we had to leave on the morning of the 3rd day without staying the 3rd night. 
Despite initially being told that we could get a refund for this unexpected medical issue, Park Grand Reservations have refused to do so because I had not given the required 24 hour notice. I have spoken to reservations on the phone and they confirmed that they would not giving me a refund for this reason despite the fact that this was a sudden medical issue.
While I accept that I had not given the required 24 hour notice, I do NOT think that this is a very friendly attitude given the medical nature of our sudden departure."
